pokedex_number,name_fr,name_en,type1,type2,file,palette_primary,palette_secondary,palette_accent,palette_highlight
20,Rattatac,Raticate,Normal,,020_Rattatac_normal.png,#C9C2B8,#8E8A82,#F4F1EA,#4D4A45
21,Piafabec,Spearow,Normal,Flying,021_Piafabec_normal-flying.png,#C9C2B8,#8E8A82,#F4F1EA,#4D4A45
22,Rapasdepic,Fearow,Normal,Flying,022_Rapasdepic_normal-flying.png,#C9C2B8,#8E8A82,#F4F1EA,#4D4A45
23,Abo,Ekans,Poison,,023_Abo_poison.png,#9B4DFF,#2A0D5E,#FF5AD9,#F6E9FF
24,Arbok,Arbok,Poison,,024_Arbok_poison.png,#9B4DFF,#2A0D5E,#FF5AD9,#F6E9FF
25,Pikachu,Pikachu,Electric,,025_Pikachu_electric.png,#FFD60A,#6A4C00,#6FFFE9,#FFF6C7
26,Raichu,Raichu,Electric,,026_Raichu_electric.png,#FFD60A,#6A4C00,#6FFFE9,#FFF6C7
27,Sabelette,Sandshrew,Ground,,027_Sabelette_ground.png,#C68642,#4B2E14,#F2D16B,#FFF6E3
28,Sablaireau,Sandslash,Ground,,028_Sablaireau_ground.png,#C68642,#4B2E14,#F2D16B,#FFF6E3
29,Nidoran♀,Nidoran♀,Poison,,029_Nidoran_poison.png,#9B4DFF,#2A0D5E,#FF5AD9,#F6E9FF
30,Nidorina,Nidorina,Poison,,030_Nidorina_poison.png,#9B4DFF,#2A0D5E,#FF5AD9,#F6E9FF
31,Nidoqueen,Nidoqueen,Poison,Ground,031_Nidoqueen_poison-ground.png,#9B4DFF,#2A0D5E,#FF5AD9,#F6E9FF
32,Nidoran♂,Nidoran♂,Poison,,032_Nidoran_poison.png,#9B4DFF,#2A0D5E,#FF5AD9,#F6E9FF
33,Nidorino,Nidorino,Poison,,033_Nidorino_poison.png,#9B4DFF,#2A0D5E,#FF5AD9,#F6E9FF
34,Nidoking,Nidoking,Poison,Ground,034_Nidoking_poison-ground.png,#9B4DFF,#2A0D5E,#FF5AD9,#F6E9FF
35,Mélofée,Clefairy,Fairy,,035_Melofee_fairy.png,#FF7BD4,#7C1D5F,#B8F2FF,#FFF0FB
36,Mélodelfe,Clefable,Fairy,,036_Melodelfe_fairy.png,#FF7BD4,#7C1D5F,#B8F2FF,#FFF0FB
37,Goupix,Vulpix,Fire,,037_Goupix_fire.png,#FF5A1F,#8C1D18,#FFC24A,#FFF2D6
38,Feunard,Ninetales,Fire,,038_Feunard_fire.png,#FF5A1F,#8C1D18,#FFC24A,#FFF2D6
39,Rondoudou,Jigglypuff,Normal,Fairy,039_Rondoudou_normal-fairy.png,#C9C2B8,#8E8A82,#F4F1EA,#4D4A45
40,Grodoudou,Wigglytuff,Normal,Fairy,040_Grodoudou_normal-fairy.png,#C9C2B8,#8E8A82,#F4F1EA,#4D4A45
41,Nosferapti,Zubat,Poison,Flying,041_Nosferapti_poison-flying.png,#9B4DFF,#2A0D5E,#FF5AD9,#F6E9FF
42,Nosferalto,Golbat,Poison,Flying,042_Nosferalto_poison-flying.png,#9B4DFF,#2A0D5E,#FF5AD9,#F6E9FF
43,Mystherbe,Oddish,Grass,Poison,043_Mystherbe_grass-poison.png,#2ECC71,#0B5D2A,#A8FF6A,#EFFFF1
44,Ortide,Gloom,Grass,Poison,044_Ortide_grass-poison.png,#2ECC71,#0B5D2A,#A8FF6A,#EFFFF1
45,Rafflesia,Vileplume,Grass,Poison,045_Rafflesia_grass-poison.png,#2ECC71,#0B5D2A,#A8FF6A,#EFFFF1
46,Paras,Paras,Bug,Grass,046_Paras_bug-grass.png,#B6E43A,#2C3E0A,#7CFFB2,#F6FFE0
47,Parasect,Parasect,Bug,Grass,047_Parasect_bug-grass.png,#B6E43A,#2C3E0A,#7CFFB2,#F6FFE0
48,Mimitoss,Venonat,Bug,Poison,048_Mimitoss_bug-poison.png,#B6E43A,#2C3E0A,#7CFFB2,#F6FFE0
49,Aéromite,Venomoth,Bug,Poison,049_Aeromite_bug-poison.png,#B6E43A,#2C3E0A,#7CFFB2,#F6FFE0
50,Taupiqueur,Diglett,Ground,,050_Taupiqueur_ground.png,#C68642,#4B2E14,#F2D16B,#FFF6E3
51,Triopikeur,Dugtrio,Ground,,051_Triopikeur_ground.png,#C68642,#4B2E14,#F2D16B,#FFF6E3
52,Miaouss,Meowth,Normal,,052_Miaouss_normal.png,#C9C2B8,#8E8A82,#F4F1EA,#4D4A45
53,Persian,Persian,Normal,,053_Persian_normal.png,#C9C2B8,#8E8A82,#F4F1EA,#4D4A45
54,Psykokwak,Psyduck,Water,,054_Psykokwak_water.png,#1F7AFF,#0A2C6B,#45E6FF,#E6FBFF
55,Akwakwak,Golduck,Water,,055_Akwakwak_water.png,#1F7AFF,#0A2C6B,#45E6FF,#E6FBFF
56,Férosinge,Mankey,Fighting,,056_Ferosinge_fighting.png,#FF3B30,#5C0D0A,#FFB3A6,#FFF0EC
57,Colossinge,Primeape,Fighting,,057_Colossinge_fighting.png,#FF3B30,#5C0D0A,#FFB3A6,#FFF0EC
58,Caninos,Growlithe,Fire,,058_Caninos_fire.png,#FF5A1F,#8C1D18,#FFC24A,#FFF2D6
59,Arcanin,Arcanine,Fire,,059_Arcanin_fire.png,#FF5A1F,#8C1D18,#FFC24A,#FFF2D6
60,Ptitard,Poliwag,Water,,060_Ptitard_water.png,#1F7AFF,#0A2C6B,#45E6FF,#E6FBFF
61,Têtarte,Poliwhirl,Water,,061_Tetarte_water.png,#1F7AFF,#0A2C6B,#45E6FF,#E6FBFF
62,Tartard,Poliwrath,Water,Fighting,062_Tartard_water-fighting.png,#1F7AFF,#0A2C6B,#45E6FF,#E6FBFF
63,Abra,Abra,Psychic,,063_Abra_psychic.png,#FF3EA5,#3B0A45,#7C3AED,#FFE6FA
64,Kadabra,Kadabra,Psychic,,064_Kadabra_psychic.png,#FF3EA5,#3B0A45,#7C3AED,#FFE6FA
65,Alakazam,Alakazam,Psychic,,065_Alakazam_psychic.png,#FF3EA5,#3B0A45,#7C3AED,#FFE6FA
66,Machoc,Machop,Fighting,,066_Machoc_fighting.png,#FF3B30,#5C0D0A,#FFB3A6,#FFF0EC
67,Machopeur,Machoke,Fighting,,067_Machopeur_fighting.png,#FF3B30,#5C0D0A,#FFB3A6,#FFF0EC
68,Mackogneur,Machamp,Fighting,,068_Mackogneur_fighting.png,#FF3B30,#5C0D0A,#FFB3A6,#FFF0EC
69,Chétiflor,Bellsprout,Grass,Poison,069_Chetiflor_grass-poison.png,#2ECC71,#0B5D2A,#A8FF6A,#EFFFF1
70,Boustiflor,Weepinbell,Grass,Poison,070_Boustiflor_grass-poison.png,#2ECC71,#0B5D2A,#A8FF6A,#EFFFF1
71,Empiflor,Victreebel,Grass,Poison,071_Empiflor_grass-poison.png,#2ECC71,#0B5D2A,#A8FF6A,#EFFFF1
72,Tentacool,Tentacool,Water,Poison,072_Tentacool_water-poison.png,#1F7AFF,#0A2C6B,#45E6FF,#E6FBFF
73,Tentacruel,Tentacruel,Water,Poison,073_Tentacruel_water-poison.png,#1F7AFF,#0A2C6B,#45E6FF,#E6FBFF
74,Racaillou,Geodude,Rock,Ground,074_Racaillou_rock-ground.png,#B89B7E,#3D2B1F,#F2E3D5,#FFFFFF
75,Gravalanch,Graveler,Rock,Ground,075_Gravalanch_rock-ground.png,#B89B7E,#3D2B1F,#F2E3D5,#FFFFFF
76,Grolem,Golem,Rock,Ground,076_Grolem_rock-ground.png,#B89B7E,#3D2B1F,#F2E3D5,#FFFFFF
77,Ponyta,Ponyta,Fire,,077_Ponyta_fire.png,#FF5A1F,#8C1D18,#FFC24A,#FFF2D6
78,Galopa,Rapidash,Fire,,078_Galopa_fire.png,#FF5A1F,#8C1D18,#FFC24A,#FFF2D6
79,Ramoloss,Slowpoke,Water,Psychic,079_Ramoloss_water-psychic.png,#1F7AFF,#0A2C6B,#45E6FF,#E6FBFF
80,Flagadoss,Slowbro,Water,Psychic,080_Flagadoss_water-psychic.png,#1F7AFF,#0A2C6B,#45E6FF,#E6FBFF
81,Magnéti,Magnemite,Electric,Steel,081_Magneti_electric-steel.png,#FFD60A,#6A4C00,#6FFFE9,#FFF6C7
82,Magnéton,Magneton,Electric,Steel,082_Magneton_electric-steel.png,#FFD60A,#6A4C00,#6FFFE9,#FFF6C7
83,Canarticho,Farfetch'd,Normal,Flying,083_Canarticho_normal-flying.png,#C9C2B8,#8E8A82,#F4F1EA,#4D4A45
84,Doduo,Doduo,Normal,Flying,084_Doduo_normal-flying.png,#C9C2B8,#8E8A82,#F4F1EA,#4D4A45
85,Dodrio,Dodrio,Normal,Flying,085_Dodrio_normal-flying.png,#C9C2B8,#8E8A82,#F4F1EA,#4D4A45
86,Otaria,Seel,Water,,086_Otaria_water.png,#1F7AFF,#0A2C6B,#45E6FF,#E6FBFF
87,Lamantine,Dewgong,Water,Ice,087_Lamantine_water-ice.png,#1F7AFF,#0A2C6B,#45E6FF,#E6FBFF
88,Tadmorv,Grimer,Poison,,088_Tadmorv_poison.png,#9B4DFF,#2A0D5E,#FF5AD9,#F6E9FF
89,Grotadmorv,Muk,Poison,,089_Grotadmorv_poison.png,#9B4DFF,#2A0D5E,#FF5AD9,#F6E9FF
90,Kokiyas,Shellder,Water,,090_Kokiyas_water.png,#1F7AFF,#0A2C6B,#45E6FF,#E6FBFF
91,Crustabri,Cloyster,Water,Ice,091_Crustabri_water-ice.png,#1F7AFF,#0A2C6B,#45E6FF,#E6FBFF
92,Fantominus,Gastly,Ghost,Poison,092_Fantominus_ghost-poison.png,#6D28D9,#0B1026,#22D3EE,#EDE9FE
93,Spectrum,Haunter,Ghost,Poison,093_Spectrum_ghost-poison.png,#6D28D9,#0B1026,#22D3EE,#EDE9FE
94,Ectoplasma,Gengar,Ghost,Poison,094_Ectoplasma_ghost-poison.png,#6D28D9,#0B1026,#22D3EE,#EDE9FE
95,Onix,Onix,Rock,Ground,095_Onix_rock-ground.png,#B89B7E,#3D2B1F,#F2E3D5,#FFFFFF
96,Soporifik,Drowzee,Psychic,,096_Soporifik_psychic.png,#FF3EA5,#3B0A45,#7C3AED,#FFE6FA
97,Hypnomade,Hypno,Psychic,,097_Hypnomade_psychic.png,#FF3EA5,#3B0A45,#7C3AED,#FFE6FA
98,Krabby,Krabby,Water,,098_Krabby_water.png,#1F7AFF,#0A2C6B,#45E6FF,#E6FBFF
99,Krabboss,Kingler,Water,,099_Krabboss_water.png,#1F7AFF,#0A2C6B,#45E6FF,#E6FBFF
100,Voltorbe,Voltorb,Electric,,100_Voltorbe_electric.png,#FFD60A,#6A4C00,#6FFFE9,#FFF6C7
101,Électrode,Electrode,Electric,,101_Electrode_electric.png,#FFD60A,#6A4C00,#6FFFE9,#FFF6C7
102,Noeunoeuf,Exeggcute,Grass,Psychic,102_Noeunoeuf_grass-psychic.png,#2ECC71,#0B5D2A,#A8FF6A,#EFFFF1
103,Noadkoko,Exeggutor,Grass,Psychic,103_Noadkoko_grass-psychic.png,#2ECC71,#0B5D2A,#A8FF6A,#EFFFF1
104,Osselait,Cubone,Ground,,104_Osselait_ground.png,#C68642,#4B2E14,#F2D16B,#FFF6E3
105,Ossatueur,Marowak,Ground,,105_Ossatueur_ground.png,#C68642,#4B2E14,#F2D16B,#FFF6E3
106,Kicklee,Hitmonlee,Fighting,,106_Kicklee_fighting.png,#FF3B30,#5C0D0A,#FFB3A6,#FFF0EC
107,Tygnon,Hitmonchan,Fighting,,107_Tygnon_fighting.png,#FF3B30,#5C0D0A,#FFB3A6,#FFF0EC
108,Excelangue,Lickitung,Normal,,108_Excelangue_normal.png,#C9C2B8,#8E8A82,#F4F1EA,#4D4A45
109,Smogo,Koffing,Poison,,109_Smogo_poison.png,#9B4DFF,#2A0D5E,#FF5AD9,#F6E9FF
110,Smogogo,Weezing,Poison,,110_Smogogo_poison.png,#9B4DFF,#2A0D5E,#FF5AD9,#F6E9FF
111,Rhinocorne,Rhyhorn,Ground,Rock,111_Rhinocorne_ground-rock.png,#C68642,#4B2E14,#F2D16B,#FFF6E3
112,Rhinoféros,Rhydon,Ground,Rock,112_Rhinoferos_ground-rock.png,#C68642,#4B2E14,#F2D16B,#FFF6E3
113,Leveinard,Chansey,Normal,,113_Leveinard_normal.png,#C9C2B8,#8E8A82,#F4F1EA,#4D4A45
114,Saquedeneu,Tangela,Grass,,114_Saquedeneu_grass.png,#2ECC71,#0B5D2A,#A8FF6A,#EFFFF1
115,Kangourex,Kangaskhan,Normal,,115_Kangourex_normal.png,#C9C2B8,#8E8A82,#F4F1EA,#4D4A45
116,Hypotrempe,Horsea,Water,,116_Hypotrempe_water.png,#1F7AFF,#0A2C6B,#45E6FF,#E6FBFF
117,Hypocéan,Seadra,Water,,117_Hypocean_water.png,#1F7AFF,#0A2C6B,#45E6FF,#E6FBFF
118,Poissirène,Goldeen,Water,,118_Poissirene_water.png,#1F7AFF,#0A2C6B,#45E6FF,#E6FBFF
119,Poissoroy,Seaking,Water,,119_Poissoroy_water.png,#1F7AFF,#0A2C6B,#45E6FF,#E6FBFF
120,Stari,Staryu,Water,,120_Stari_water.png,#1F7AFF,#0A2C6B,#45E6FF,#E6FBFF
121,Staross,Starmie,Water,Psychic,121_Staross_water-psychic.png,#1F7AFF,#0A2C6B,#45E6FF,#E6FBFF
122,M. Mime,Mr. Mime,Psychic,Fairy,122_M_Mime_psychic-fairy.png,#FF3EA5,#3B0A45,#7C3AED,#FFE6FA
123,Insécateur,Scyther,Bug,Flying,123_Insecateur_bug-flying.png,#B6E43A,#2C3E0A,#7CFFB2,#F6FFE0
124,Lippoutou,Jynx,Ice,Psychic,124_Lippoutou_ice-psychic.png,#7EEBFF,#0B3C5D,#D8F9FF,#FFFFFF
125,Élektek,Electabuzz,Electric,,125_Elektek_electric.png,#FFD60A,#6A4C00,#6FFFE9,#FFF6C7
126,Magmar,Magmar,Fire,,126_Magmar_fire.png,#FF5A1F,#8C1D18,#FFC24A,#FFF2D6
127,Scarabrute,Pinsir,Bug,,127_Scarabrute_bug.png,#B6E43A,#2C3E0A,#7CFFB2,#F6FFE0
128,Tauros,Tauros,Normal,,128_Tauros_normal.png,#C9C2B8,#8E8A82,#F4F1EA,#4D4A45
129,Magicarpe,Magikarp,Water,,129_Magicarpe_water.png,#1F7AFF,#0A2C6B,#45E6FF,#E6FBFF
130,Léviator,Gyarados,Water,Flying,130_Leviator_water-flying.png,#1F7AFF,#0A2C6B,#45E6FF,#E6FBFF
131,Lokhlass,Lapras,Water,Ice,131_Lokhlass_water-ice.png,#1F7AFF,#0A2C6B,#45E6FF,#E6FBFF
132,Métamorph,Ditto,Normal,,132_Metamorph_normal.png,#C9C2B8,#8E8A82,#F4F1EA,#4D4A45
133,Évoli,Eevee,Normal,,133_Evoli_normal.png,#C9C2B8,#8E8A82,#F4F1EA,#4D4A45
134,Aquali,Vaporeon,Water,,134_Aquali_water.png,#1F7AFF,#0A2C6B,#45E6FF,#E6FBFF
135,Voltali,Jolteon,Electric,,135_Voltali_electric.png,#FFD60A,#6A4C00,#6FFFE9,#FFF6C7
136,Pyroli,Flareon,Fire,,136_Pyroli_fire.png,#FF5A1F,#8C1D18,#FFC24A,#FFF2D6
137,Porygon,Porygon,Normal,,137_Porygon_normal.png,#C9C2B8,#8E8A82,#F4F1EA,#4D4A45
138,Amonita,Omanyte,Rock,Water,138_Amonita_rock-water.png,#B89B7E,#3D2B1F,#F2E3D5,#FFFFFF
139,Amonistar,Omastar,Rock,Water,139_Amonistar_rock-water.png,#B89B7E,#3D2B1F,#F2E3D5,#FFFFFF
140,Kabuto,Kabuto,Rock,Water,140_Kabuto_rock-water.png,#B89B7E,#3D2B1F,#F2E3D5,#FFFFFF
141,Kabutops,Kabutops,Rock,Water,141_Kabutops_rock-water.png,#B89B7E,#3D2B1F,#F2E3D5,#FFFFFF
142,Ptéra,Aerodactyl,Rock,Flying,142_Ptera_rock-flying.png,#B89B7E,#3D2B1F,#F2E3D5,#FFFFFF
143,Ronflex,Snorlax,Normal,,143_Ronflex_normal.png,#C9C2B8,#8E8A82,#F4F1EA,#4D4A45
144,Artikodin,Articuno,Ice,Flying,144_Artikodin_ice-flying.png,#7EEBFF,#0B3C5D,#D8F9FF,#FFFFFF
145,Électhor,Zapdos,Electric,Flying,145_Electhor_electric-flying.png,#FFD60A,#6A4C00,#6FFFE9,#FFF6C7
146,Sulfura,Moltres,Fire,Flying,146_Sulfura_fire-flying.png,#FF5A1F,#8C1D18,#FFC24A,#FFF2D6
147,Minidraco,Dratini,Dragon,,147_Minidraco_dragon.png,#2563EB,#7C2D12,#A855F7,#F5F3FF
148,Draco,Dragonair,Dragon,,148_Draco_dragon.png,#2563EB,#7C2D12,#A855F7,#F5F3FF
149,Dracolosse,Dragonite,Dragon,Flying,149_Dracolosse_dragon-flying.png,#2563EB,#7C2D12,#A855F7,#F5F3FF
150,Mewtwo,Mewtwo,Psychic,,150_Mewtwo_psychic.png,#FF3EA5,#3B0A45,#7C3AED,#FFE6FA
151,Mew,Mew,Psychic,,151_Mew_psychic.png,#FF3EA5,#3B0A45,#7C3AED,#FFE6FA
